[1;30;43mStreaming output truncated to the last 5000 lines.[0m
325  	 2.0286e-01 	1.8913e+00 	3.7826e-02
326  	 1.2664e-01 	2.3997e-01 	4.7994e-03
327  	 7.2769e-02 	1.7044e+00 	3.4087e-02
328  	 1.0284e-01 	1.4237e+00 	2.8474e-02
329  	 9.9133e-02 	1.0785e+00 	2.1570e-02
330  	 1.0021e-01 	3.3802e+00 	6.7604e-02
331  	 1.4242e-01 	4.3352e+00 	8.6705e-02
332  	 2.0496e-01 	2.8670e+00 	5.7340e-02
333  	 1.4337e-01 	4.9252e+00 	9.8504e-02
334  	 1.8724e-01 	3.5259e+00 	7.0518e-02
335  	 1.0637e-01 	1.2514e+00 	2.5028e-02
336  	 1.8585e-01 	1.2820e+00 	2.5640e-02
337  	 1.9292e-01 	7.0794e-01 	1.4159e-02
338  	 1.8418e-01 	1.0448e+00 	2.0895e-02
339  	 1.7383e-01 	3.3124e+00 	6.6247e-02
340  	 1.3299e-01 	5.6300e+00 	1.1260e-01
341  	 3.6779e-01 	3.8403e+00 	7.6806e-02
342  	 3.0168e-01 	3.4472e+00 	6.8944e-02
343  	 8.0166e-02 	2.1016e+00 	4.2032e-02
344  	 1.4365e-01 	6.8616e-01 	1.3723e-02
345  	 9.8430e-02 	6.5185e-01 	1.3037e-02
346  	 1.0694e-01 	5.3149e-01 	1.0630e-02
347  	 3.7491e-02 	6.1027e-01 	1.2205e-02
348  	 4.8513e-02 	7.3349e-01 	1.4670e-02
349  	 9.1965e-02 	6.4711e-01 	1.2942e-02
350  	 8.2026e-02 	5.4684e-01 	1.0937e-02
351  	 4.6177e-02 	1.7409e+00 	3.4818e-02
352  	 1.4845e-01 	2.1006e+00 	4.2011e-02
353  	 1.5401e-01 	2.5525e+00 	5.1050e-02
354  	 1.0966e-01 	2.4924e+00 	4.9847e-02
355  	 1.7604e-01 	4.8230e-01 	9.6460e-03
356  	 7.4519e-02 	4.5777e+00 	9.1553e-02
357  	 1.7787e-01 	5.1639e+00 	1.0328e-01
358  	 1.9333e-01 	5.0825e+00 	1.0165e-01
359  	 1.8230e-01 	6.9587e+00 	1.3917e-01
360  	 4.1798e-01 	4.1374e+00 	8.2749e-02
361  	 1.2710e-01 	2.3139e+00 	4.6278e-02
362  	 1.7558e-01 	2.8791e+00 	5.7582e-02
363  	 1.0820e-01 	1.8611e+00 	3.7223e-02
364  	 8.8829e-02 	1.5183e+00 	3.0366e-02
365  	 1.0381e-01 	3.5955e+00 	7.1910e-02
366  	 2.5069e-01 	3.5729e+00 	7.1457e-02
367  	 1.7537e-01 	4.7491e+00 	9.4982e-02
368  	 2.4666e-01 	4.4929e+00 	8.9858e-02
369  	 2.6565e-01 	3.1696e+00 	6.3391e-02
370  	 1.8603e-01 	3.0588e+00 	6.1176e-02
371  	 1.5348e-01 	2.2673e+00 	4.5345e-02
372  	 1.3790e-01 	1.3807e+00 	2.7613e-02
373  	 1.9696e-01 	4.2089e+00 	8.4179e-02
374  	 2.2460e-01 	2.3886e+00 	4.7772e-02
375  	 1.2514e-01 	9.6709e-01 	1.9342e-02
376  	 1.0794e-01 	2.9210e+00 	5.8420e-02
377  	 1.6368e-01 	5.9219e+00 	1.1844e-01
378  	 3.5481e-01 	4.7132e+00 	9.4263e-02
379  	 2.6278e-01 	9.9118e-01 	1.9824e-02
380  	 1.0745e-01 	2.3226e+00 	4.6452e-02
381  	 1.4994e-01 	1.9649e+00 	3.9297e-02
382  	 1.2796e-01 	2.7123e+00 	5.4245e-02
383  	 1.7413e-01 	1.7872e+00 	3.5744e-02
384  	 1.2518e-01 	4.9007e-01 	9.8014e-03
385  	 8.2183e-02 	5.2967e-01 	1.0593e-02
386  	 1.0019e-01 	7.3942e-01 	1.4788e-02
387  	 1.0132e-01 	3.5658e+00 	7.1316e-02
388  	 2.5701e-01 	2.1102e+00 	4.2205e-02
389  	 1.2182e-01 	9.9321e-01 	1.9864e-02
390  	 6.6974e-02 	3.9317e+00 	7.8633e-02
391  	 1.3761e-01 	7.2690e+00 	1.4538e-01
392  	 2.9906e-01 	1.2527e+01 	2.5054e-01
393  	 5.9669e-01 	1.2596e+01 	2.5192e-01
394  	 1.1903e+00 	3.9972e+00 	7.9944e-02
395  	 2.1979e-01 	3.1944e-01 	6.3888e-03
396  	 1.3681e-01 	1.3755e+00 	2.7510e-02
397  	 7.5745e-02 	2.0958e+00 	4.1917e-02
398  	 1.8792e-01 	2.6509e+00 	5.3018e-02
399  	 1.4967e-01 	2.0856e+00 	4.1711e-02
400  	 1.4982e-01 	2.5211e+00 	5.0422e-02
401  	 2.1732e-01 	2.6153e+00 	5.2307e-02
402  	 1.1282e-01 	1.0435e+00 	2.0870e-02
403  	 4.3347e-02 	1.6297e+00 	3.2593e-02
404  	 8.9319e-02 	2.2652e+00 	4.5304e-02
405  	 1.0078e-01 	1.3316e+00 	2.6632e-02
406  	 1.1538e-01 	3.7276e+00 	7.4552e-02
407  	 1.4547e-01 	3.2884e+00 	6.5768e-02
408  	 2.2708e-01 	1.0785e+00 	2.1570e-02
409  	 7.0672e-02 	3.4769e+00 	6.9538e-02
410  	 1.3094e-01 	5.2403e+00 	1.0481e-01
411  	 2.2206e-01 	1.1866e+00 	2.3732e-02
412  	 7.4227e-02 	4.2247e+00 	8.4494e-02
413  	 2.1534e-01 	4.3524e+00 	8.7048e-02
414  	 2.2937e-01 	1.4243e+00 	2.8486e-02
415  	 9.7933e-02 	3.4587e-01 	6.9174e-03
416  	 7.4020e-02 	1.4535e-01 	2.9069e-03
417  	 9.2658e-02 	1.6844e+00 	3.3687e-02
418  	 1.2812e-01 	1.9022e+00 	3.8043e-02
419  	 7.7796e-02 	1.6441e+00 	3.2882e-02
420  	 8.9049e-02 	2.8287e+00 	5.6573e-02
421  	 1.8146e-01 	1.1199e+00 	2.2398e-02
422  	 2.1683e-01 	9.9295e-01 	1.9859e-02
423  	 9.9811e-02 	8.9828e-01 	1.7966e-02
424  	 2.3853e-02 	4.6036e+00 	9.2073e-02
425  	 1.7556e-01 	3.0619e+00 	6.1239e-02
426  	 2.4245e-01 	9.3489e-01 	1.8698e-02
427  	 1.0321e-01 	1.1181e+00 	2.2362e-02
428  	 4.8423e-02 	4.4345e+00 	8.8689e-02
429  	 1.9176e-01 	7.5955e+00 	1.5191e-01
430  	 3.0595e-01 	1.1465e+01 	2.2931e-01
431  	 9.3708e-01 	1.2042e+01 	2.4083e-01
432  	 7.1769e-01 	6.5049e+00 	1.3010e-01
433  	 5.3074e-01 	1.3756e+00 	2.7512e-02
434  	 1.0433e-01 	3.7793e-01 	7.5585e-03
435  	 7.3162e-02 	5.0038e-01 	1.0008e-02
436  	 3.1796e-02 	1.1563e+00 	2.3126e-02
437  	 1.5483e-01 	1.5143e+00 	3.0285e-02
438  	 1.2802e-01 	1.9945e+00 	3.9889e-02
439  	 1.7265e-01 	2.9839e+00 	5.9677e-02
440  	 1.8474e-01 	1.7442e+00 	3.4884e-02
441  	 1.5260e-01 	1.2002e+00 	2.4004e-02
442  	 7.7950e-02 	3.0710e-01 	6.1419e-03
443  	 1.2953e-01 	1.1426e+00 	2.2851e-02
444  	 9.4189e-02 	5.3011e-01 	1.0602e-02
445  	 1.1877e-01 	1.9228e+00 	3.8456e-02
446  	 9.6691e-02 	2.9750e+00 	5.9501e-02
447  	 3.9287e-01 	1.6262e+00 	3.2525e-02
448  	 6.3684e-02 	1.6772e-01 	3.3544e-03
449  	 4.3446e-02 	2.1217e+00 	4.2435e-02
450  	 1.5761e-01 	1.2220e+00 	2.4440e-02
451  	 1.9852e-01 	6.5900e-01 	1.3180e-02
452  	 7.0177e-02 	1.7971e+00 	3.5943e-02
453  	 1.1763e-01 	2.4781e+00 	4.9561e-02
454  	 1.8014e-01 	2.8268e+00 	5.6537e-02
455  	 2.4559e-01 	7.6898e-01 	1.5380e-02
456  	 1.9689e-01 	1.7492e+00 	3.4985e-02
457  	 1.1237e-01 	1.5938e-01 	3.1876e-03
458  	 1.9437e-01 	1.9766e+00 	3.9532e-02
459  	 1.8699e-01 	6.4801e+00 	1.2960e-01
460  	 1.8607e-01 	4.4263e+00 	8.8525e-02
461  	 2.8646e-01 	2.0960e+00 	4.1920e-02
462  	 1.9346e-01 	8.9830e-01 	1.7966e-02
